,State_Name,District_Name,Season,Crop,Area,Production,Yield
254,Odisha,ANUGUL,Winter     ,Groundnut,194.0,179.3,0.9242268041237114
255,Odisha,ANUGUL,Winter     ,Horse-gram,4134.0,1012.8,0.24499274310595065
256,Odisha,ANUGUL,Winter     ,Maize,19.0,27.6,1.4526315789473685
257,Odisha,ANUGUL,Winter     ,Moong(Green Gram),918.0,201.0,0.21895424836601307
258,Odisha,ANUGUL,Winter     ,Potato,503.0,4524.5,8.995029821073558
259,Odisha,ANUGUL,Winter     ,Rapeseed &Mustard,788.0,83.5,0.10596446700507614
260,Odisha,ANUGUL,Winter     ,Rice,85000.0,140000.0,1.6470588235294117
261,Odisha,ANUGUL,Winter     ,Sesamum,4329.0,822.5,0.18999768999769
262,Odisha,ANUGUL,Winter     ,Sugarcane,180.0,9646.2,53.59
263,Odisha,ANUGUL,Winter     ,Urad,2493.0,560.9,0.22498997192137984
264,Odisha,ANUGUL,Autumn     ,Groundnut,2666.0,2468.7,0.9259939984996248
265,Odisha,ANUGUL,Autumn     ,Maize,965.0,677.1,0.7016580310880829
266,Odisha,ANUGUL,Autumn     ,Moong(Green Gram),2297.0,351.4,0.15298215063125814
267,Odisha,ANUGUL,Autumn     ,Ragi,185.0,87.3,0.4718918918918919
268,Odisha,ANUGUL,Autumn     ,Rice,21000.0,20000.0,0.9523809523809523
269,Odisha,ANUGUL,Autumn     ,Sesamum,1603.0,320.6,0.2
270,Odisha,ANUGUL,Autumn     ,Urad,2682.0,477.4,0.1780014914243102
271,Odisha,ANUGUL,Summer     ,Groundnut,1531.0,1956.6,1.2779882429784455
272,Odisha,ANUGUL,Summer     ,Maize,15.0,20.4,1.3599999999999999
273,Odisha,ANUGUL,Summer     ,Moong(Green Gram),507.0,116.1,0.22899408284023667
274,Odisha,ANUGUL,Summer     ,Rice,2000.0,4000.0,2.0
275,Odisha,ANUGUL,Summer     ,Sesamum,433.0,94.8,0.21893764434180138
276,Odisha,ANUGUL,Summer     ,Urad,76.0,21.4,0.28157894736842104
277,Odisha,ANUGUL,Summer     ,Wheat,115.0,177.2,1.5408695652173912
278,Odisha,ANUGUL,Winter     ,Groundnut,360.0,426.2,1.1838888888888888
279,Odisha,ANUGUL,Winter     ,Horse-gram,4224.0,1119.4,0.2650094696969697
280,Odisha,ANUGUL,Winter     ,Maize,15.0,21.2,1.4133333333333333
281,Odisha,ANUGUL,Winter     ,Moong(Green Gram),617.0,120.3,0.19497568881685576
282,Odisha,ANUGUL,Winter     ,Potato,470.0,4398.3,9.35808510638298
283,Odisha,ANUGUL,Winter     ,Rapeseed &Mustard,647.0,70.5,0.10896445131375579
284,Odisha,ANUGUL,Winter     ,Rice,90000.0,128000.0,1.4222222222222223
285,Odisha,ANUGUL,Winter     ,Sesamum,3735.0,608.8,0.16299866131191432
286,Odisha,ANUGUL,Winter     ,Sugarcane,120.0,7067.9,58.899166666666666
287,Odisha,ANUGUL,Winter     ,Urad,1713.0,346.0,0.20198482194979567
288,Odisha,ANUGUL,Autumn     ,Groundnut,2838.0,2335.7,0.8230091613812544
289,Odisha,ANUGUL,Autumn     ,Maize,984.0,636.2,0.6465447154471545
290,Odisha,ANUGUL,Autumn     ,Moong(Green Gram),2355.0,329.7,0.13999999999999999
291,Odisha,ANUGUL,Autumn     ,Ragi,20.0,9.8,0.49000000000000005
292,Odisha,ANUGUL,Autumn     ,Rice,19000.0,10000.0,0.5263157894736842
293,Odisha,ANUGUL,Autumn     ,Sesamum,1714.0,298.2,0.17397899649941656
294,Odisha,ANUGUL,Autumn     ,Urad,3414.0,580.4,0.1700058582308143
295,Odisha,ANUGUL,Summer     ,Groundnut,835.0,1002.8,1.2009580838323353
296,Odisha,ANUGUL,Summer     ,Maize,27.0,34.2,1.2666666666666668
297,Odisha,ANUGUL,Summer     ,Moong(Green Gram),474.0,124.2,0.2620253164556962
298,Odisha,ANUGUL,Summer     ,Rice,3000.0,4000.0,1.3333333333333333
299,Odisha,ANUGUL,Summer     ,Sesamum,655.0,161.1,0.24595419847328243
300,Odisha,ANUGUL,Summer     ,Urad,107.0,30.8,0.28785046728971964
301,Odisha,ANUGUL,Summer     ,Wheat,102.0,164.3,1.6107843137254902
302,Odisha,ANUGUL,Winter     ,Groundnut,56.0,59.5,1.0625
303,Odisha,ANUGUL,Winter     ,Horse-gram,3146.0,767.6,0.24399237126509854
304,Odisha,ANUGUL,Winter     ,Maize,23.0,30.1,1.308695652173913
305,Odisha,ANUGUL,Winter     ,Moong(Green Gram),627.0,111.0,0.17703349282296652
306,Odisha,ANUGUL,Winter     ,Potato,606.0,5476.4,9.036963696369636
307,Odisha,ANUGUL,Winter     ,Rapeseed &Mustard,469.0,46.0,0.09808102345415778
308,Odisha,ANUGUL,Winter     ,Rice,83000.0,74000.0,0.891566265060241
309,Odisha,ANUGUL,Winter     ,Sesamum,2313.0,333.1,0.14401210549070473
310,Odisha,ANUGUL,Winter     ,Sugarcane,180.0,10774.4,59.85777777777778
311,Odisha,ANUGUL,Winter     ,Urad,986.0,199.2,0.20202839756592292
312,Odisha,ANUGUL,Autumn     ,Groundnut,2603.0,2467.6,0.9479830964271994
313,Odisha,ANUGUL,Autumn     ,Maize,879.0,577.5,0.6569965870307167
314,Odisha,ANUGUL,Autumn     ,Moong(Green Gram),1800.0,282.6,0.157
315,Odisha,ANUGUL,Autumn     ,Ragi,9.0,4.6,0.5111111111111111
316,Odisha,ANUGUL,Autumn     ,Rice,16000.0,18000.0,1.125
317,Odisha,ANUGUL,Autumn     ,Sesamum,922.0,117.1,0.12700650759219087
318,Odisha,ANUGUL,Autumn     ,Urad,2724.0,531.2,0.19500734214390603
319,Odisha,ANUGUL,Summer     ,Groundnut,903.0,1088.1,1.2049833887043189
320,Odisha,ANUGUL,Summer     ,Maize,23.0,31.7,1.3782608695652174
321,Odisha,ANUGUL,Summer     ,Moong(Green Gram),405.0,95.2,0.23506172839506173
322,Odisha,ANUGUL,Summer     ,Rice,1000.0,1000.0,1.0
323,Odisha,ANUGUL,Summer     ,Sesamum,279.0,60.0,0.21505376344086022
324,Odisha,ANUGUL,Summer     ,Urad,98.0,20.0,0.20408163265306123
325,Odisha,ANUGUL,Summer     ,Wheat,68.0,107.2,1.576470588235294
326,Odisha,ANUGUL,Winter     ,Groundnut,89.0,124.2,1.395505617977528
327,Odisha,ANUGUL,Winter     ,Horse-gram,3850.0,931.7,0.24200000000000002
328,Odisha,ANUGUL,Winter     ,Maize,8.0,12.0,1.5
329,Odisha,ANUGUL,Winter     ,Moong(Green Gram),697.0,133.1,0.190961262553802
330,Odisha,ANUGUL,Winter     ,Potato,599.0,6384.1,10.657929883138564
331,Odisha,ANUGUL,Winter     ,Rapeseed &Mustard,545.0,63.2,0.11596330275229358
332,Odisha,ANUGUL,Winter     ,Rice,82000.0,113000.0,1.3780487804878048
333,Odisha,ANUGUL,Winter     ,Sesamum,1706.0,257.6,0.15099648300117235
334,Odisha,ANUGUL,Winter     ,Sugarcane,112.0,6465.4,57.72678571428571
335,Odisha,ANUGUL,Winter     ,Urad,1587.0,357.1,0.2250157529930687
336,Odisha,ANUGUL,Autumn     ,Groundnut,3375.0,2838.4,0.8410074074074074
337,Odisha,ANUGUL,Autumn     ,Maize,744.0,420.3,0.5649193548387097
338,Odisha,ANUGUL,Autumn     ,Moong(Green Gram),1901.0,239.5,0.1259863229879011
339,Odisha,ANUGUL,Autumn     ,Ragi,7.0,3.1,0.4428571428571429
340,Odisha,ANUGUL,Autumn     ,Rice,21000.0,13000.0,0.6190476190476191
341,Odisha,ANUGUL,Autumn     ,Sesamum,794.0,123.9,0.15604534005037785
342,Odisha,ANUGUL,Autumn     ,Urad,2715.0,445.3,0.1640147329650092
343,Odisha,ANUGUL,Summer     ,Groundnut,580.0,682.1,1.1760344827586207
344,Odisha,ANUGUL,Summer     ,Maize,23.0,25.4,1.1043478260869564
345,Odisha,ANUGUL,Summer     ,Moong(Green Gram),635.0,145.4,0.2289763779527559
346,Odisha,ANUGUL,Summer     ,Rice,1000.0,1000.0,1.0
347,Odisha,ANUGUL,Summer     ,Sesamum,138.0,28.0,0.2028985507246377
348,Odisha,ANUGUL,Summer     ,Urad,189.0,39.9,0.2111111111111111
349,Odisha,ANUGUL,Summer     ,Wheat,44.0,53.6,1.2181818181818183
350,Odisha,ANUGUL,Winter     ,Groundnut,245.0,373.9,1.5261224489795917
351,Odisha,ANUGUL,Winter     ,Horse-gram,4443.0,1404.0,0.31600270087778526
352,Odisha,ANUGUL,Winter     ,Maize,36.0,50.7,1.4083333333333334
353,Odisha,ANUGUL,Winter     ,Moong(Green Gram),1036.0,231.0,0.22297297297297297
354,Odisha,ANUGUL,Winter     ,Potato,721.0,7831.5,10.861997226074896
355,Odisha,ANUGUL,Winter     ,Rapeseed &Mustard,428.0,48.4,0.1130841121495327
356,Odisha,ANUGUL,Winter     ,Rice,83000.0,89000.0,1.072289156626506
357,Odisha,ANUGUL,Winter     ,Sesamum,2690.0,497.7,0.1850185873605948
358,Odisha,ANUGUL,Winter     ,Sugarcane,57.0,3008.7,52.78421052631579
359,Odisha,ANUGUL,Winter     ,Urad,1473.0,372.7,0.25302104548540394
360,Odisha,ANUGUL,Autumn     ,Groundnut,2285.0,2095.3,0.9169803063457331
361,Odisha,ANUGUL,Autumn     ,Maize,965.0,861.5,0.8927461139896373
362,Odisha,ANUGUL,Autumn     ,Moong(Green Gram),2008.0,315.3,0.15702191235059762
363,Odisha,ANUGUL,Autumn     ,Ragi,4.0,2.2,0.55
364,Odisha,ANUGUL,Autumn     ,Rice,16000.0,4000.0,0.25
365,Odisha,ANUGUL,Autumn     ,Sesamum,1048.0,223.2,0.2129770992366412
366,Odisha,ANUGUL,Autumn     ,Urad,2914.0,510.0,0.1750171585449554
367,Odisha,ANUGUL,Summer     ,Groundnut,489.0,591.7,1.2100204498977507
368,Odisha,ANUGUL,Summer     ,Maize,9.0,12.3,1.3666666666666667
369,Odisha,ANUGUL,Summer     ,Moong(Green Gram),452.0,112.5,0.2488938053097345
370,Odisha,ANUGUL,Summer     ,Sesamum,255.0,67.1,0.26313725490196077
371,Odisha,ANUGUL,Summer     ,Urad,89.0,24.1,0.2707865168539326
372,Odisha,ANUGUL,Summer     ,Wheat,27.0,52.9,1.9592592592592593
373,Odisha,ANUGUL,Winter     ,Groundnut,252.0,265.4,1.053174603174603
374,Odisha,ANUGUL,Winter     ,Horse-gram,4450.0,1308.3,0.294
375,Odisha,ANUGUL,Winter     ,Maize,8.0,16.8,2.1
376,Odisha,ANUGUL,Winter     ,Moong(Green Gram),1171.0,242.4,0.20700256191289496
377,Odisha,ANUGUL,Winter     ,Potato,423.0,4637.3,10.962884160756502
378,Odisha,ANUGUL,Winter     ,Rapeseed &Mustard,423.0,49.9,0.11796690307328604
379,Odisha,ANUGUL,Winter     ,Rice,68000.0,43000.0,0.6323529411764706
380,Odisha,ANUGUL,Winter     ,Sesamum,2102.0,378.4,0.18001902949571835
381,Odisha,ANUGUL,Winter     ,Sugarcane,107.0,5538.5,51.76168224299065
382,Odisha,ANUGUL,Winter     ,Urad,1412.0,314.9,0.2230169971671388
383,Odisha,ANUGUL,Autumn     ,Groundnut,1923.0,1861.5,0.96801872074883
384,Odisha,ANUGUL,Autumn     ,Maize,869.0,758.7,0.8730724971231301
385,Odisha,ANUGUL,Autumn     ,Moong(Green Gram),1887.0,300.0,0.1589825119236884
386,Odisha,ANUGUL,Autumn     ,Ragi,3.0,1.7,0.5666666666666667
387,Odisha,ANUGUL,Autumn     ,Rice,14000.0,9000.0,0.6428571428571429
388,Odisha,ANUGUL,Autumn     ,Sesamum,955.0,191.0,0.2
389,Odisha,ANUGUL,Autumn     ,Urad,2458.0,471.9,0.1919853539462978
390,Odisha,ANUGUL,Summer     ,Groundnut,212.0,222.0,1.0471698113207548
391,Odisha,ANUGUL,Summer     ,Maize,10.0,13.6,1.3599999999999999
392,Odisha,ANUGUL,Summer     ,Moong(Green Gram),206.0,56.9,0.2762135922330097
393,Odisha,ANUGUL,Summer     ,Rice,1000.0,2000.0,2.0
394,Odisha,ANUGUL,Summer     ,Sesamum,342.0,88.2,0.2578947368421053
395,Odisha,ANUGUL,Summer     ,Urad,18.0,4.9,0.27222222222222225
396,Odisha,ANUGUL,Summer     ,Wheat,8.0,13.3,1.6625
397,Odisha,ANUGUL,Winter     ,Groundnut,287.0,350.7,1.221951219512195
398,Odisha,ANUGUL,Winter     ,Horse-gram,3886.0,1049.2,0.2699948533196089
399,Odisha,ANUGUL,Winter     ,Maize,10.0,20.4,2.04
400,Odisha,ANUGUL,Winter     ,Moong(Green Gram),816.0,151.0,0.18504901960784315
401,Odisha,ANUGUL,Winter     ,Potato,557.0,5003.0,8.982046678635548
402,Odisha,ANUGUL,Winter     ,Rapeseed &Mustard,400.0,44.4,0.111
403,Odisha,ANUGUL,Winter     ,Rice,64000.0,67000.0,1.046875
404,Odisha,ANUGUL,Winter     ,Sesamum,1008.0,152.2,0.15099206349206348
405,Odisha,ANUGUL,Winter     ,Sugarcane,61.0,3065.6,50.25573770491803
406,Odisha,ANUGUL,Winter     ,Urad,952.0,202.8,0.21302521008403363
407,Odisha,ANUGUL,Autumn     ,Groundnut,3043.0,3292.5,1.081991455800197
408,Odisha,ANUGUL,Autumn     ,Maize,1139.0,1100.0,0.9657594381035997
409,Odisha,ANUGUL,Autumn     ,Moong(Green Gram),1932.0,311.1,0.1610248447204969
410,Odisha,ANUGUL,Autumn     ,Ragi,2.0,1.3,0.65
411,Odisha,ANUGUL,Autumn     ,Rice,14000.0,21000.0,1.5
412,Odisha,ANUGUL,Autumn     ,Sesamum,768.0,173.6,0.22604166666666667
413,Odisha,ANUGUL,Autumn     ,Urad,1992.0,384.5,0.19302208835341367
414,Odisha,ANUGUL,Summer     ,Groundnut,301.0,393.1,1.3059800664451828
415,Odisha,ANUGUL,Summer     ,Maize,6.0,10.7,1.7833333333333332
416,Odisha,ANUGUL,Summer     ,Moong(Green Gram),349.0,107.1,0.30687679083094554
417,Odisha,ANUGUL,Summer     ,Rice,173000.0,2000.0,0.011560693641618497
418,Odisha,ANUGUL,Summer     ,Sesamum,175.0,49.7,0.28400000000000003
419,Odisha,ANUGUL,Summer     ,Urad,11.0,4.4,0.4
420,Odisha,ANUGUL,Summer     ,Wheat,1.0,1.8,1.8
421,Odisha,ANUGUL,Winter     ,Groundnut,154.0,234.4,1.5220779220779221
422,Odisha,ANUGUL,Winter     ,Horse-gram,2927.0,992.3,0.33901605739665186
423,Odisha,ANUGUL,Winter     ,Maize,9.0,14.7,1.6333333333333333
424,Odisha,ANUGUL,Winter     ,Moong(Green Gram),654.0,168.1,0.2570336391437309
425,Odisha,ANUGUL,Winter     ,Potato,446.0,4530.0,10.15695067264574
